일자,코스닥,화학,종이·목재,제약,일반전기전자,의료·정밀기기,음식료·담배,운송장비·부품,섬유·의류,비금속,기계·장비,금속,IT H/W,IT S/W & SVC,통신방송서비스,유통,운송,오락·문화,금융,건설,제조업,IT부품,반도체,정보기기,통신장비,컴퓨터서비스,소프트웨어,디지털컨텐츠,인터넷,방송서비스,통신서비스,기타제조,출판·매체복제,기타서비스
2023/07/31,935.97,3226.2,9553.49,7800.45,2981.04,2315.93,7236.85,6179.23,84.21,49431.65,660.87,2801.99,673.29,1667.95,823.37,418.83,3042.7,739.05,2769.78,76.48,3249.42,1243.35,1894.69,10.28,113.79,205.88,257.0,940.65,9607.84,2426.32,602.52,1238.97,2938.92,2425.05
2023/07/28,913.74,3157.97,9361.3,7672.59,2878.55,2304.07,7177.52,6105.96,83.63,48811.3,644.22,2736.86,669.97,1628.59,808.84,410.65,3004.95,731.29,2569.58,74.65,3177.06,1224.2,1893.3,10.25,113.07,203.05,250.39,917.06,9627.1,2372.51,598.29,1212.71,2887.98,2341.61
2023/07/27,883.79,3061.59,9041.94,7593.3,2712.26,2255.45,7013.29,5965.47,82.84,47845.7,619.74,2648.55,654.55,1592.45,807.25,405.64,2902.24,719.57,2335.44,73.39,3070.46,1194.9,1849.08,10.18,110.57,198.71,241.13,913.21,9448.92,2386.14,586.46,1189.59,2848.16,2277.92
2023/07/26,900.63,3123.18,9188.69,7328.54,3105.95,2194.01,7093.73,5940.71,79.73,46302.97,622.71,2746.71,625.89,1548.65,783.45,393.94,2794.54,689.63,2791.66,71.64,3178.67,1190.04,1736.18,10.01,106.6,191.7,236.15,881.23,9191.42,2305.39,575.22,1158.77,2793.0,2316.79
2023/07/25,939.96,3292.72,9322.14,7590.25,3196.71,2256.29,7271.48,6263.77,83.32,48379.19,667.0,2903.7,652.05,1631.38,817.64,405.62,2904.35,735.49,2931.58,75.75,3310.71,1257.82,1796.24,10.42,111.88,202.24,250.38,921.52,9622.05,2404.17,601.38,1237.6,2893.8,2409.8
2023/07/24,929.9,3295.35,9387.06,7781.3,2943.89,2272.27,7439.27,6261.93,85.28,49078.99,677.2,2905.16,658.85,1669.41,816.87,414.94,2964.99,703.74,2690.99,75.66,3259.77,1278.0,1808.94,10.58,113.75,207.14,256.85,940.21,9832.69,2383.84,611.34,1277.68,2973.65,2436.22
2023/07/21,934.58,3271.07,9561.3,7978.08,2814.31,2324.3,7708.46,6436.74,87.86,49989.51,670.03,2892.56,667.21,1720.93,842.07,426.57,3065.96,722.11,2667.42,77.1,3243.22,1290.63,1829.92,10.78,116.93,214.7,263.97,971.84,10174.36,2458.44,629.58,1288.34,3098.67,2454.57
2023/07/20,931.6,3280.47,9618.55,7855.48,2741.68,2327.79,7800.13,6494.72,88.53,51265.01,670.29,2912.73,682.83,1735.54,845.04,422.26,3112.96,732.18,2553.78,78.21,3216.36,1306.99,1884.31,10.83,118.73,217.98,265.69,979.79,10428.68,2454.83,638.94,1320.1,3058.63,2428.68
2023/07/19,923.72,3236.46,9336.68,7713.06,2731.79,2310.64,7802.64,6556.74,89.0,50855.51,658.18,2900.31,673.17,1722.23,843.58,422.62,3106.45,721.25,2616.64,77.25,3184.51,1286.41,1853.63,10.8,119.18,216.97,264.4,967.27,10451.92,2455.13,635.2,1305.2,3002.83,2362.05
2023/07/18,914.14,3212.54,9406.53,7526.48,2510.35,2296.98,7841.23,6576.46,89.99,51547.11,658.25,2971.01,681.59,1727.74,844.88,425.13,3122.97,715.85,2618.64,78.0,3099.82,1297.22,1882.0,10.91,119.79,217.97,263.33,980.66,10346.93,2460.33,635.35,1331.86,3006.94,2345.6
