일자,코스피,음식료품,섬유의복,종이목재,화학,의약품,비금속광물,철강금속,기계,전기전자,의료정밀,운수장비,유통업,전기가스업,건설업,운수창고업,통신업,금융업,증권,보험,서비스업,제조업
2023/07/31,2632.58,3288.02,315.9,509.65,5613.36,12833.52,4058.77,7221.62,1193.77,27969.86,1712.75,2245.92,379.25,627.4,73.16,1548.51,342.35,356.39,1750.24,15487.12,1137.7,7209.06
2023/07/28,2608.32,3255.13,311.16,497.5,5410.33,12859.93,3932.17,7003.75,1174.68,28019.42,1644.23,2231.29,366.47,629.69,71.64,1562.15,342.63,353.73,1734.76,15419.37,1105.25,7159.73
2023/07/27,2603.81,3287.71,311.96,474.1,5411.71,12930.35,3887.73,6772.89,1150.39,28079.77,1660.47,2208.72,354.22,631.87,71.2,1552.13,345.5,356.33,1740.46,15476.8,1105.1,7145.64
2023/07/26,2592.36,3173.75,300.35,483.3,5665.15,12179.04,3830.66,7042.04,1163.53,28028.98,1571.26,2231.38,362.59,619.89,70.04,1532.14,336.36,346.72,1688.48,15069.19,1061.58,7165.5
2023/07/25,2636.46,3259.71,306.96,470.32,5777.04,12374.22,3929.25,7427.82,1231.82,28399.26,1659.16,2289.51,359.14,630.42,73.05,1538.18,338.85,349.13,1718.67,15282.87,1085.94,7305.9
2023/07/24,2628.53,3305.0,309.33,467.97,5716.87,12572.6,3927.99,7161.71,1196.94,28357.53,1612.14,2262.62,353.28,632.33,73.32,1599.23,343.4,347.52,1707.92,15093.25,1099.41,7268.18
2023/07/21,2609.76,3368.63,319.24,449.4,5604.11,12779.41,3964.68,6487.29,1192.58,27929.73,1665.68,2286.74,341.54,650.22,74.19,1652.26,345.29,352.51,1732.62,15291.55,1115.3,7169.14
2023/07/20,2600.23,3340.32,322.38,451.73,5550.84,12528.16,3979.72,6096.2,1210.05,27983.42,1670.83,2289.19,338.36,658.38,74.02,1691.4,341.28,350.32,1738.53,15135.85,1116.29,7138.5
2023/07/19,2608.24,3350.26,321.96,448.62,5549.53,12548.66,3950.58,6088.99,1203.44,28226.24,1644.45,2317.05,336.73,655.36,74.23,1647.06,340.91,349.19,1737.23,15229.73,1113.48,7182.08
2023/07/18,2607.62,3371.7,339.1,446.22,5559.05,12391.65,3966.68,6029.75,1208.88,28193.64,1650.93,2303.94,338.64,654.48,74.64,1653.11,342.87,349.51,1745.27,15274.71,1123.7,7168.11
2023/07/17,2619.0,3380.93,343.05,445.88,5512.02,12567.57,4039.39,5970.26,1229.58,28216.04,1680.11,2336.64,341.63,650.67,77.64,1685.6,345.53,352.61,1762.84,15394.15,1131.57,7185.25
2023/07/14,2628.3,3422.76,347.46,438.72,5510.77,12705.19,3970.04,5780.76,1234.99,28328.78,1683.2,2381.13,341.86,663.52,74.94,1698.82,349.0,355.19,1768.72,15670.08,1125.15,7214.26
2023/07/13,2591.23,3403.7,346.54,430.91,5447.77,12674.06,3961.6,5646.16,1244.16,27834.37,1699.68,2346.58,337.75,669.65,74.91,1676.69,347.69,348.68,1725.93,15323.46,1110.15,7111.97
2023/07/12,2574.72,3383.07,349.47,424.06,5394.19,12418.23,3948.52,5520.1,1216.54,27723.54,1669.1,2337.23,335.29,649.48,74.47,1673.74,345.22,348.49,1700.81,15592.14,1105.21,7059.6
