종목코드,업종명,시장구분
003990,유통업,KOSPI
004560,철강금속,KOSPI
004565,철강금속,KOSPI
001460,섬유의복,KOSPI
001465,섬유의복,KOSPI
000790,운수창고업,KOSPI
013200,건설업,KOSPI
084680,서비스업,KOSPI
008400,운수장비,KOSPI
008405,운수장비,KOSPI
001040,서비스업,KOSPI
079160,서비스업,KOSPI
001047,서비스업,KOSPI
001049,서비스업,KOSPI
001045,서비스업,KOSPI
097950,음식료품,KOSPI
097957,음식료품,KOSPI
097959,음식료품,KOSPI
097955,음식료품,KOSPI
069730,철강금속,KOSPI
017940,유통업,KOSPI
007700,섬유의복,KOSPI
001370,섬유의복,KOSPI
001375,섬유의복,KOSPI
076170,서비스업,KOSPI
078930,서비스업,KOSPI
006360,건설업,KOSPI
078935,서비스업,KOSPI
035000,서비스업,KOSPI
001500,증권,KOSPI
011420,서비스업,KOSPI
003560,서비스업,KOSPI
005560,전기전자,KOSPI
105560,기타금융,KOSPI
002380,화학,KOSPI
009070,운수창고업,KOSPI
009440,기계,KOSPI
017300,전기전자,KOSPI
092220,전기전자,KOSPI
006200,서비스업,KOSPI
001390,화학,KOSPI
001940,서비스업,KOSPI
083420,화학,KOSPI
025000,화학,KOSPI
092230,서비스업,KOSPI
025850,화학,KOSPI
044450,운수창고업,KOSPI
030200,통신업,KOSPI
033780,기타제조업,KOSPI
030210,증권,KOSPI
032390,통신업,KOSPI
003550,서비스업,KOSPI
015940,통신업,KOSPI
034220,전기전자,KOSPI
001120,유통업,KOSPI
068870,의약품,KOSPI
068875,의약품,KOSPI
051900,화학,KOSPI
051905,화학,KOSPI
003555,서비스업,KOSPI
011070,전기전자,KOSPI
066570,전기전자,KOSPI
066575,전기전자,KOSPI
032640,통신업,KOSPI
045820,통신업,KOSPI
093050,섬유의복,KOSPI
051910,화학,KOSPI
051915,화학,KOSPI
002550,보험,KOSPI
006260,서비스업,KOSPI
000680,유통업,KOSPI
000685,유통업,KOSPI
010120,전기전자,KOSPI
023150,음식료품,KOSPI
035420,서비스업,KOSPI
016420,증권,KOSPI
008260,철강금속,KOSPI
005490,철강금속,KOSPI
100840,기계,KOSPI
064960,운수장비,KOSPI
000040,운수장비,KOSPI
003570,운수장비,KOSPI
036530,서비스업,KOSPI
010950,화학,KOSPI
010955,화학,KOSPI
034120,서비스업,KOSPI
101060,서비스업,KOSPI
001380,섬유의복,KOSPI
001385,섬유의복,KOSPI
002360,화학,KOSPI
002365,화학,KOSPI
009160,기계,KOSPI
025530,운수장비,KOSPI
003600,서비스업,KOSPI
011790,화학,KOSPI
018670,유통업,KOSPI
001740,유통업,KOSPI
001745,유통업,KOSPI
096770,화학,KOSPI
096775,화학,KOSPI
003605,서비스업,KOSPI
001510,증권,KOSPI
001515,증권,KOSPI
006120,화학,KOSPI
006125,화학,KOSPI
017670,통신업,KOSPI
011810,유통업,KOSPI
077970,기계,KOSPI
067250,운수장비,KOSPI
