종목코드,종목명,매출액 증감율,영업이익 증감율,EPS 증감율,자산비율,부채비율,유동비율,순운전자비율,예상 시가총액,PBR,PSR,ROE,ROA,OPM,시초/공모(%),nsi_5,업황,공모주 시장 동향,유통가능물량비율,기관경쟁률,의무보유확약비율,공모금액,공모밴드비율
432430,와이랩,37.513946778510885,59.464972855607876,-226.1710927765316,173.6791479737934,73.6791479737934,210.5410892801233,41.96508361919597,142482186000.0,12.780447564010466,4.784407007746389,-5.1581762229955155,-2.956400556193738,-1.4623591277193315,140.0,100.28999999999999,-5.19998245506629,0.8461538461538461,37.53,1821.64,14.11,21000000000.0,120.0
388870,파로스아이바이오,0.0,0.709447731638066,48.434817598170845,104.51862599235322,4.5186259923532175,2114.7250102184366,79.00857590117549,180865468000.0,11.468751528761315,181.85044196338563,-14.170599932371552,-12.333863664369755,-333.5330585871176,-11.93,100.912,-1.6485822292046328,0.8461538461538461,33.8,303.31,0.83,19600000000.0,87.5
438700,버넥트,41.68225441149689,-203.46344519503893,5.5162303745734125,161.88234620870688,61.88234620870687,166.82742760997627,11.828875286101548,168640000000.0,6.959805233528539,33.35117203752159,-10.327581323699398,-21.621918485422107,-279.68516078684587,47.5,100.912,-0.59380446948994,0.8461538461538461,33.59,1520.08,8.43,30720000000.0,127.49
172670,에이엘티,5.920029881298462,43.53439453729321,150.97380890267215,265.13560075408196,165.135600754082,21.540673113653042,-26.756750794743578,212241775000.0,3.0603040278300546,4.788972504840153,22.576913124897175,7.755109682948108,18.109311849311382,26.4,101.144,-2.629622397744679,0.8461538461538461,45.65,1835.71,15.64,15030000000.0,134.41
303360,프로테옴텍,28.807305317421665,62.26574545701118,262.3254505816897,108.88151997406581,8.881519974065817,1011.1251001861398,54.62813696166846,59790217500.0,3.7393777722638406,7.8218491787229,8.19873525935029,7.196178054549167,13.83480739066177,44.44,101.90200000000002,-0.1488330273797417,0.9375,50.43,94.1,2.77,10800000000.0,75.0
232830,시큐센,80.24870768740374,373.40674311159177,364.7731407958149,228.60504411862445,128.60504411862445,158.36844025327818,23.019146096237687,34546416000.0,4.265533061701345,0.8742432212221202,28.047167343422036,11.988376668103744,5.496279612592463,198.0,99.244,-1.4180029659410747,0.9375,74.54,1800.86,12.33,3896000000.0,136.36
440320,오픈놀,49.708482636349075,195.46387809262848,-1925.4934542458202,144.44789611099677,44.44789611099678,315.14580517173613,48.08748983210994,98050000000.0,4.636082890735531,6.027182956951239,-2.7494648005540356,-1.8351504485428514,4.2118358425859705,30.0,99.244,-1.4180029659410747,0.9375,26.36,510.36,0.0,16500000000.0,81.63
354320,알멕,89.27435521189315,264.9581715718287,140.43854524347313,303.70868995977713,203.70868995977713,151.4639825061553,20.121259917688842,298569050000.0,3.8825064611041142,1.9046866636320379,7.838346157933919,2.3459496304979224,7.1936718933196575,190.8,99.244,-0.29404297494786097,0.9375,31.53,1697.23,50.28,40000000000.0,117.65
274400,이노시뮬레이션,20.228828506799715,-359.57472338794685,-50.98180148499549,290.61752506816833,190.6175250681683,56.23713974407592,-15.443673922538803,117297390000.0,7.870900844911123,6.949635071513299,-85.90084271659406,-11.112064849841778,-10.636507037806336,199.0,103.628,0.8859824695188967,0.8461538461538461,44.06,1869.47,5.96,11700000000.0,107.14
378340,필에너지,14.869815520312304,128.38567567429982,-34.89896996297417,475.2901359662106,375.2901359662105,148.79766754848637,29.893193246838244,320042782000.0,15.73237225613303,1.6870127915571205,18.297751247503953,3.850747269666473,8.86198661574926,260.59,99.29799999999999,0.4571993277085843,0.8461538461538461,27.79,1811.55,57.14,95625000000.0,120.78
340810,씨유박스,36.94129658594132,-38.00257172716999,-392.37360873111703,913.4614897189664,813.4614897189664,75.13515004823628,-20.902634849073497,149499495000.0,36.72842378723198,8.89506241519397,-640.3267268839502,-22.320852951029984,-37.71042200309654,4.53,98.866,-0.6170105606771337,0.9375,49.03,86.44,3.63,25800000000.0,74.26
