기업명,예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,주간사,종목코드
시큐레터,2023.08.08,"9,200~10,600","12,000","10,671","1,544.73:1",3.14%,대신증권,418250
스마트레이더시스템,2023.08.07,"5,800~6,800","8,000","12,876","1,813.42:1",6.98%,대신증권,424960
넥스틸,2023.08.02,"11,500~12,500","11,500","80,500",235.56:1,0.60%,하나증권,092790
빅토리콘텐츠(구.빅텐츠),2023.07.28,"21,000~23,000","23,000","9,832",731.17,4.19%,NH투자증권,210120
큐리옥스바이오시스템즈,2023.07.27,"13,000~16,000","13,000","18,200",191.61:1,2.63%,키움증권,445680
SK증권스팩10호,2023.07.26,"2,000~2,000","2,000","6,000",1205.00:1,0.66%,SK증권,457940
코츠테크놀로지,2023.07.26,"10,000~11,500","13,000","10,000","1,836.61:1",17.59%,"한국투자증권,하이투자증권",448710
하나스팩28호,2023.07.25,"2,000~2,000","2,000","13,000","1,291.86:1",-,하나증권,454750
KB스팩26호,2023.07.24,"2,000~2,000","2,000","10,000","1,302.86:1",0.76%,KB증권,458320
파두,2023.07.24,"26,000~31,000","31,000","162,500",362.90:1,21.87%,"NH투자증권,한국투자증권,한화증권,현대차증권,유진투자증권,KB증권",440110
엠아이큐브솔루션,2023.07.20,"8,500~10,000","12,000","10,285","1,888.91:1",29.69%,한국투자증권,373170
시지트로닉스,2023.07.18,"18,000~20,000","25,000","22,500","1,703.85:1",5.62%,유안타증권,429270
유안타스팩14호,2023.07.12,"2,000~2,000","2,000","8,000","1,248.32:1",1.20%,유안타증권,450940
에이엘티,2023.07.11,"16,700~20,500","25,000","15,030","1,835.71:1",16.07%,미래에셋증권,172670
파로스아이바이오,2023.07.10,"14,000~18,000","14,000","19,600",303.31:1,1.32%,한국투자증권,388870
버넥트,2023.07.10,"11,500~13,600","16,000","30,720","1,520.08:1",8.63%,대신증권,438700
뷰티스킨,2023.07.10,"21,000~24,000","26,000","11,440",1819.7 :1,10.93%,DB금융투자,406820
