기업명,신규상장일,현재가(원),전일비(%),공모가(원),공모가대비등락률(%),시초가(원),시초/공모(%),첫날종가(원)
한국스팩12호,2023/08/30,-,%,-,-%,-,%,예정
시큐레터,2023/08/24,-,%,"12,000",-%,-,%,예정
스마트레이더시스템,2023/08/22,-,%,"8,000",-%,-,%,예정
넥스틸,2023/08/21,-,%,"11,500",-%,-,%,예정
빅토리콘텐츠(구.빅텐츠),2023/08/17,-,%,"23,000",-%,-,%,예정
SK증권스팩10호,2023/08/11,"2,115",-15.06%,"2,000",5.75%,"5,000",150%,"2,490"
큐리옥스바이오시스템즈,2023/08/10,"22,050",-2.00%,"13,000",69.62%,"13,000",0%,"17,330"
KB스팩26호,2023/08/10,"2,015",-0.25%,"2,000",0.75%,"3,200",60%,"2,035"
코츠테크놀로지,2023/08/10,"22,350",-11.66%,"13,000",71.92%,"25,000",92.31%,"20,400"
하나스팩28호,2023/08/10,"2,005",-0.74%,"2,000",0.25%,"2,800",40%,"2,030"
파두,2023/08/07,"39,900",29.97%,"31,000",28.71%,"26,300",-15.16%,"27,600"
엠아이큐브솔루션,2023/08/04,"38,100",-8.19%,"12,000",217.5%,"36,900",207.5%,"26,700"
시지트로닉스,2023/08/03,"20,600",6.85%,"25,000",-17.6%,"26,350",5.4%,"23,100"
파로스아이바이오,2023/07/27,"14,340",-4.40%,"14,000",2.43%,"12,330",-11.93%,"8,730"
에이엘티,2023/07/27,"23,050",4.77%,"25,000",-7.8%,"31,600",26.4%,"22,550"
유안타스팩14호,2023/07/27,"2,035",-0.73%,"2,000",1.75%,"3,755",87.75%,"2,175"
버넥트,2023/07/26,"13,490",1.35%,"16,000",-15.69%,"23,600",47.5%,"11,700"
뷰티스킨,2023/07/24,"31,600",1.61%,"26,000",21.54%,"54,500",109.62%,"32,600"
SK증권스팩9호,2023/07/21,"2,050",-0.73%,"2,000",2.5%,"3,385",69.25%,"3,860"
와이랩,2023/07/20,"13,500",-6.44%,"9,000",50%,"21,600",140%,-
센서뷰,2023/07/19,"4,275",-0.47%,"4,500",-5%,"12,700",182.22%,"6,830"
필에너지,2023/07/14,"51,400",-12.88%,"34,000",51.18%,"122,600",260.59%,"114,600"
디비금융스팩11호,2023/07/12,"2,055",-0.48%,"2,000",2.75%,"5,750",187.5%,"4,435"
이노시뮬레이션,2023/07/06,"13,610",-6.40%,"15,000",-9.27%,"44,850",199%,"35,000"
교보스팩14호,2023/07/06,"2,115",0.48%,"2,000",5.75%,"2,170",8.5%,"6,810"
오픈놀,2023/06/30,"9,470",-0.84%,"10,000",-5.3%,"13,000",30%,"15,750"
알멕,2023/06/30,"94,500",7.75%,"50,000",89%,"145,400",190.8%,"99,500"
시큐센,2023/06/29,"3,470",-0.86%,"3,000",15.67%,"8,940",198%,"9,150"
하나스팩29호,2023/06/28,"2,100",0.24%,"2,000",5%,"2,115",5.75%,"2,110"
KB스팩25호,2023/06/23,"2,075",0.00%,"2,000",3.75%,"2,140",7%,"2,130"
NH스팩29호,2023/06/23,"2,010",-0.25%,"2,000",0.5%,"2,040",2%,"2,030"
