종목명,공모주일정,확정공모가,희망공모가,청약경쟁률,주간사,분석
유투바이오,2023.10.23~10.24,-,"3,300~3,900",,신한투자증권,
퀄리타스반도체,2023.10.18~10.19,-,"13,000~15,000",,한국투자증권,
에스엘에스바이오,2023.10.10~10.11,-,"8,200~9,400",,하나증권,
신성에스티,2023.10.10~10.11,-,"22,000~25,000",,미래에셋증권,
퓨릿(구.신디프),2023.10.05~10.06,-,"8,800~10,700",,미래에셋증권,
에이치엠씨아이비스팩6호,2023.09.25~09.26,-,"2,000~2,000",,현대차증권,
두산로보틱스,2023.09.21~09.22,-,"21,000~26,000",,"한국투자증권,미래에셋증권,NH투자증권,KB증권,크레디트스위스증권",
한싹,2023.09.19~09.20,-,"8,900~11,000",,케이비증권,
레뷰코퍼레이션,2023.09.19~09.20,-,"11,500~13,200",,삼성증권,
신한스팩11호,2023.09.19~09.20,-,"2,000~2,000",,신한투자증권,
밀리의서재,2023.09.18~09.19,-,"20,000~23,000",,미래에셋증권,
아이엠티,2023.09.18~09.19,-,"10,500~12,000",,"유안타증권,유진투자증권",
인스웨이브시스템즈,2023.09.14~09.15,-,"20,000~24,000",,신영증권,
상상인스팩4호,2023.09.04~09.05,"2,000","2,000~2,000",504.77:1,상상인증권,
한화플러스스팩4호,2023.08.29~08.30,"2,000","2,000~2,000",753.02:1,한화투자증권,
대신밸런스스팩16호,2023.08.23~08.24,"2,000","2,000~2,000",527.68:1,대신증권,
유안타스팩11호,2023.08.22~08.23,"2,000","2,000~2,000",296.20:1,유안타증권,
대신밸런스스팩15호,2023.08.21~08.22,"2,000","2,000~2,000",548.99:1,대신증권,
한국스팩12호,2023.08.21~08.22,"2,000","2,000~2,000",872.19:1,한국투자증권,
시큐레터,2023.08.14~08.16,"12,000","9,200~10,600",1698.41:1,대신증권,
스마트레이더시스템,2023.08.10~08.11,"8,000","5,800~6,800",1366.31:1,대신증권,
넥스틸,2023.08.09~08.10,"11,500","11,500~12,500",4.63:1,하나증권,
빅토리콘텐츠(구.빅텐츠),2023.08.07~08.08,"23,000","21,000~23,000",181.33:1,NH투자증권,
큐리옥스바이오시스템즈,2023.08.01~08.02,"13,000","13,000~16,000",10.12:1,키움증권,
SK증권스팩10호,2023.08.01~08.02,"2,000","2,000~2,000",1193.68:1,SK증권,
코츠테크놀로지,2023.08.01~08.02,"13,000","10,000~11,500",1682:1,"한국투자증권,하이투자증권",
하나스팩28호,2023.08.01~08.02,"2,000","2,000~2,000",282.12:1,하나증권,
KB스팩26호,2023.07.31~08.01,"2,000","2,000~2,000",400.59:1,KB증권,
파두,2023.07.27~07.28,"31,000","26,000~31,000",79.75:1,"NH투자증권,한국투자증권,한화증권,현대차증권,유진투자증권,KB증권",
엠아이큐브솔루션,2023.07.26~07.27,"12,000","8,500~10,000",1695.11:1,한국투자증권,
시지트로닉스,2023.07.24~07.25,"25,000","18,000~20,000",918.61:1,유안타증권,
파로스아이바이오,2023.07.17~07.18,"14,000","14,000~18,000",347.44:1,한국투자증권,
버넥트,2023.07.17~07.18,"16,000","11,500~13,600",1311.65:1,대신증권,
에이엘티,2023.07.17~07.18,"25,000","16,700~20,500",2512.24:1,미래에셋증권,
유안타스팩14호,2023.07.17~07.18,"2,000","2,000~2,000",90.47:1,유안타증권,
뷰티스킨,2023.07.13~07.14,"26,000","21,000~24,000",2316.13:1,DB금융투자,
