종목명,종목코드,구분1,구분2,단위,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,자본잉여금,이익잉여금,기타자본항목,자본총계,매출액,영업이익,당기순이익
와이랩,432430,제13(전)기 기말,2022년 12월 31일 현재,-,15476166918.0,3886366782.0,19362533700.0,7350663460.0,863419821.0,8214083281.0,6370677000.0,19831484489.0,-15104555877.0,50844807.0,11148450419.0,29780532001.0,-435498328.0,-572434054.0
파로스아이바이오,388870,제 8 기 분기말,2023년 03월 31일 현재,-,13669277565.0,2813606520.0,16482884085.0,646385582.0,66214567.0,712600149.0,5738481000.0,83575612920.0,-74967655091.0,1423845107.0,15770283936.0,0.0,-2229761675.0,-2032976451.0
버넥트,438700,2022년말,(제7기),-,11582949409.0,27642054666.0,39225004075.0,6943072596.0,8051368361.0,14994440957.0,342000000.0,40889913205.0,40889913205.0,3244330198.0,85366156608.0,5056493961.0,-14142263265.0,-8481198407.0
에이엘티,172670,제 20 기말,2022.12.31 현재,-,13507731122.0,170372203708.0,183879934830.0,62708027046.0,51818741213.0,114526768259.0,3781335500.0,24459288170.0,34921645468.0,5441377542.0,68603646680.0,44318854365.0,8025839545.0,14260090631.0
시지트로닉스,429270,제16기 1분기,(2023년도 1분기),-,9285710096.0,15168258286.0,24453968382.0,7808000657.0,6176474869.0,13984475526.0,1789625000.0,31320895855.0,-22754437458.0,113409459.0,10469492856.0,3594864137.0,-1326574819.0,-1357947720.0
엠아이큐브솔루션,373170,제19기 1분기말,(2023년 1분기),-,9925789000.0,1370563000.0,11296352000.0,4862484000.0,833662000.0,5696146000.0,358500000.0,1451500000.0,3633235000.0,156971000.0,5600206000.0,5651391000.0,308790000.0,404342000.0
파두,440110,제9기,2023년 1분기,KRW (),40747036867.0,39105031258.0,79852068125.0,16024890787.0,14327091472.0,30351982259.0,4177071900.0,37871214953.0,1648530491.0,5803268522.0,49500085866.0,17663847173.0,-4313488564.0,-4104436260.0
코츠테크놀로지,448710,제24기말,2022년 12월 31일 현재,-,29220818502.0,5088075725.0,34308894227.0,17300986355.0,925278206.0,18226264561.0,405179200.0,0.0,24872435527.0,-9194985061.0,16082629666.0,41835502370.0,2785574622.0,2296576120.0
큐리옥스바이오시스템즈,445680,제6기 1분기,2023년 3월말,KRW (백만원),11384.0,36200.0,47584.0,2653.0,1693.0,4346.0,3284.0,71650.0,-37457.0,5760.0,43237.0,2152.0,-2426.0,-2030.0
빅텐츠,210120,제21기 1분기 (2023년),2023년,KRW (백만원),11092.0,13201.0,24293.0,12205.0,468.0,12673.0,1327.0,13201.0,-3086.0,180.0,11622.0,879.0,-1091.0,-940.0
프로테옴텍,303360,제 23기,2022년 12월 31일 현재,-,10554270874.0,6855175717.0,17409446591.0,1043814546.0,376282709.0,1420097255.0,5613357500.0,30524143972.0,-20856915682.0,708763546.0,15989349336.0,7644000304.0,1057532719.0,1252814775.0
시큐센,232830,제12(전)기,2022년 12월 31일 현재,-,11563658442.0,6950991051.0,18514649493.0,7301744226.0,3113937213.0,10415681439.0,10104752004.0,0.0,-2190919235.0,185135285.0,8098968054.0,39515795103.0,2171898590.0,2219605920.0
오픈놀,440320,제 11 (당)기,2022년 12월 31일 현재,-,21518816482.0,9030931112.0,30549747594.0,6828209714.0,2572218010.0,9400427724.0,840429000.0,19775027392.0,-224803277.0,758666755.0,21149319870.0,16267964769.0,685179971.0,-560633830.0
알멕,354320,제 22 기말,2022년 12월 31일 현재,-,138309168279.0,95246180428.0,233555348707.0,91314889514.0,65339350852.0,156654240366.0,2473190500.0,46921676774.0,20506241067.0,7000000000.0,76901108341.0,156754943320.0,11276436299.0,5479090840.0
이노시뮬레이션,274400,제 23기,(2022년 12월말),-,8595157829.0,34714595210.0,43309753039.0,15283774865.0,13123314259.0,28407089124.0,3446413000.0,24359330913.0,-22203228627.0,9327572512.0,14930087798.0,16878208538.0,-1795251839.0,-4812607844.0
필에너지,378340,제 3 기 기말,2022년 12월 31일 현재,-,120088812961.0,20106035167.0,140194848128.0,79067397424.0,36576586441.0,115643983865.0,3750000000.0,14079550195.0,6241576020.0,479738048.0,24550864263.0,73012476124.0,7546537894.0,5659754248.0
씨유박스,340810,제 13 기 기말,2022년 12월 31일 현재,-,23484754615.0,13696811413.0,37181566028.0,31256681593.0,1854481200.0,33111162793.0,4210816500.0,23888634494.0,-26803355996.0,2774308237.0,4070403235.0,16807020347.0,-6337998299.0,-8299242678.0
모니터랩,434480,제18(당)기말,2022년 12월 31일 현재,-,17069533856.0,4238528812.0,21308062668.0,2597865705.0,4947329145.0,7545194850.0,972885000.0,9642294155.0,2728842928.0,418845735.0,13762867818.0,14134540020.0,1135173414.0,718990851.0
나라셀라,405920,제 33(당) 기 기말,2022년 12월 31일 현재,-,74386774287.0,47153316306.0,121540090593.0,37582198137.0,34695315003.0,72277513140.0,25815190000.0,-7787609884.0,31217964196.0,17033141.0,49262577453.0,107162501611.0,12251474988.0,8944026358.0
마녀공장,439090,제 11(당)기 기말,2022년 12월 31일 현재,-,58349783101.0,4438641337.0,62788424438.0,10263915580.0,373970269.0,10637885849.0,1431826000.0,420286600.0,50000308022.0,298117967.0,52150538589.0,101835609615.0,24494754918.0,17297237363.0
큐라티스,348080,제 7 기,2022.12.31 현재,-,11011536585.0,53481441762.0,64492978347.0,36549389258.0,7600279713.0,44149668971.0,11635955500.0,127040016908.0,-16528162931.0,1474815558.0,123622625035.0,8409446476.0,-21482059260.0,-35758464934.0
프로테옴텍,303360,제 23기,2022년 12월 31일 현재,-,10554270874.0,6855175717.0,17409446591.0,1043814546.0,376282709.0,1420097255.0,5613357500.0,30524143972.0,-20856915682.0,708763546.0,15989349336.0,7644000304.0,1057532719.0,1252814775.0
마이크로투나노,424980,제23(당)기말,2022년 12월 31일 현재,-,30045614488.0,19406036632.0,49451651120.0,7111502230.0,16257668793.0,23369171023.0,2444445000.0,7938747456.0,15019101820.0,680185821.0,26082480097.0,41424950659.0,6288212703.0,5792009387.0
토마토시스템,393210,제 23(당) 기 기말,2022년 12월 31일 현재,-,13199327799.0,4121796244.0,17321124043.0,3150954940.0,1440720977.0,4591675917.0,2145611000.0,5600406762.0,4983430364.0,0.0,12729448126.0,27089927107.0,7457456006.0,4576290898.0
에스바이오메딕스,304360,20201231,,-,14321769716.0,3743329932.0,18065099648.0,6762600546.0,6502801199.0,13265401745.0,5074888000.0,43936134905.0,-45843849195.0,1632524193.0,4799697903.0,5319321448.0,-8433101115.0,-8589831908.0
