종목명,종목코드,구분1,구분2,단위,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,자본잉여금,이익잉여금,기타자본항목,자본총계,매출액,영업이익,당기순이익
와이랩,432430,제12(전전)기 기말,2021년 12월 31일 현재,-,19537383606.0,4823615958.0,24360999564.0,12798473459.0,966231793.0,13764705252.0,6221510000.0,18865163322.0,-14532121823.0,41742813.0,10596294312.0,21656372098.0,-1074375321.0,453696676.0
파로스아이바이오,388870,제 7 기    기말,2022년 12월 31일 현재,-,15715099972.0,3006229303.0,18721329275.0,950949080.0,105115087.0,1056064167.0,5738481000.0,83575612920.0,-72913047501.0,1264218689.0,17665265108.0,0.0,-2245693698.0,-3942537108.0
버넥트,438700,2021년말,(제6기),-,32400812739.0,15896377835.0,48297190574.0,45873833041.0,724983187.0,46598816228.0,184485000.0,9961053480.0,9961053480.0,2527825825.0,22634417785.0,3568897165.0,-4660285609.0,-8976354818.0
에이엘티,172670,제19기말,2021.12.31 현재,-,10129062747.0,102602745605.0,112731808352.0,17707910162.0,39174555150.0,56882465312.0,3781335500.0,24459288170.0,19676665556.0,6659149405.0,54576438631.0,41841806894.0,5591579336.0,5681903898.0
시지트로닉스,429270,제15기,(2022년),-,9783324575.0,15638477490.0,25421802065.0,7927055539.0,5666566735.0,13593622274.0,1789625000.0,31320895855.0,-21396489738.0,114148674.0,11828179791.0,14521214328.0,-4846781071.0,-4369020361.0
엠아이큐브솔루션,373170,제18기,(2022년),-,9875744000.0,1478563000.0,11354307000.0,5280008000.0,894995000.0,6175003000.0,358500000.0,1451500000.0,3228893000.0,140411000.0,5179304000.0,22295174000.0,2826779000.0,2789878000.0
파두,440110,제8기,2022년,KRW (),34345868733.0,33919879457.0,68265748190.0,5449532767.0,21790045523.0,27239578290.0,4119625600.0,445615588246.0,-414247033249.0,5537089303.0,41025269900.0,56401518172.0,1507325359.0,-227459980077.0
코츠테크놀로지,448710,제23기말,2021년 12월 31일 현재,-,25829236167.0,4886385766.0,30715621933.0,13498391668.0,997182201.0,14495573869.0,445001500.0,0.0,22575859407.0,-6800812843.0,16220048064.0,31898973540.0,2690844081.0,2272182540.0
큐리옥스바이오시스템즈,445680,제5기,2022년,KRW (백만원),13949.0,34678.0,48627.0,2835.0,1932.0,4767.0,3284.0,71651.0,-35426.0,4352.0,43861.0,7237.0,-11421.0,-11498.0
빅텐츠,210120,제20기 (2022년),2022년,KRW (백만원),11124.0,14893.0,26017.0,12928.0,527.0,13455.0,1327.0,13201.0,-2146.0,180.0,12562.0,32230.0,1729.0,1327.0
프로테옴텍,303360,제 22기,2021년 12월 31일 현재,-,9200787249.0,7030790495.0,16231577744.0,1148409568.0,558022214.0,1706431782.0,5613357500.0,30524143972.0,-22120782771.0,508427261.0,14525145962.0,5934446253.0,651728876.0,-771791959.0
시큐센,232830,제11(전전)기,2021년 12월 31일 현재,-,7324129549.0,3968293248.0,11292422797.0,4665635826.0,747424837.0,5413060663.0,10104752004.0,0.0,-4410525155.0,185135285.0,5879362134.0,21922928386.0,458780662.0,477567597.0
오픈놀,440320,제 10 (전)기,2021년 12월 31일 현재,-,10175490741.0,7265016889.0,17440507630.0,8909438894.0,5164772856.0,14074211750.0,222570000.0,3181154210.0,335830553.0,-373258883.0,3366295880.0,10866428196.0,231899742.0,30711358.0
알멕,354320,제 21 기말,2021년 12월 31일 현재,-,50711642153.0,76617197920.0,127328840073.0,58342357907.0,29717864908.0,88060222815.0,2153465000.0,22241425978.0,14873726280.0,0.0,39268617258.0,82818902299.0,-6835936766.0,-13549178901.0
이노시뮬레이션,274400,제 22기,(2021년 12월말),-,13736095276.0,41758692246.0,55494787522.0,27157146641.0,20098130225.0,47255276866.0,2818698000.0,13563862037.0,-17933246554.0,9728929624.0,8178243107.0,14038403890.0,-390633285.0,-3187541675.0
필에너지,378340,제 3 기 기초,2022년 01월 01일 현재,-,88133698056.0,8554312433.0,96688010489.0,59230564234.0,17114501352.0,76345065586.0,1500000000.0,16329550195.0,2518365096.0,-4970388.0,20342944903.0,189709754189.0,16812053025.0,3723210924.0
씨유박스,340810,제 12 기 기말,2021년 12월 31일 현재,-,23369795180.0,13321112879.0,36690908059.0,27869543346.0,147855180.0,28017398526.0,1360169000.0,23815654925.0,-18504113318.0,2001798926.0,8673509533.0,12273157014.0,-4592666803.0,-1685557985.0
모니터랩,434480,제17(전)기말,2021년 12월 31일 현재,-,5393581552.0,4035164073.0,9428745625.0,5546776208.0,1456895653.0,7003671861.0,750000000.0,0.0,1987459171.0,-312385407.0,2425073764.0,12116755781.0,1761119752.0,2233887227.0
나라셀라,405920,제 32(전) 기 기말,2021년 12월 31일 현재,-,65893955744.0,25951552516.0,91845508260.0,39989226972.0,31687268288.0,71676495260.0,18487150000.0,-20583682590.0,22265545590.0,0.0,20169013000.0,88394062918.0,12812367230.0,9029936249.0
마녀공장,439090,제 10(전)기 기말,2021년 12월 31일 현재,-,38068879023.0,3218274453.0,41287153476.0,7970993910.0,563088907.0,8534082817.0,50000000.0,0.0,32703070659.0,0.0,32753070659.0,62620416556.0,17707605109.0,14166997783.0
큐라티스,348080,제 6 기,2021.12.31 현재,-,24986112217.0,56881212441.0,81867324658.0,11645148703.0,61822471878.0,73467620581.0,11544289000.0,125639557074.0,-12953084720.0,746705211.0,124977466565.0,1588548000.0,-16982162050.0,-20375385858.0
프로테옴텍,303360,제 22기,2021년 12월 31일 현재,-,9200787249.0,7030790495.0,16231577744.0,1148409568.0,558022214.0,1706431782.0,5613357500.0,30524143972.0,-22120782771.0,508427261.0,14525145962.0,5934446253.0,651728876.0,-771791959.0
마이크로투나노,424980,제22(전)기말,2021년 12월 31일 현재,-,24477751107.0,20721774603.0,45199525710.0,7384364221.0,17885163994.0,25269528215.0,2444445000.0,7938747456.0,8864885039.0,681920000.0,19929997495.0,31706906781.0,4892915780.0,4208390337.0
토마토시스템,393210,제 22(전) 기 기말,2021년 12월 31일 현재,-,5915595854.0,5624453696.0,11540049550.0,5947060351.0,2808683545.0,8755743896.0,1916735000.0,1146819300.0,-279248646.0,0.0,2784305654.0,22856123584.0,1493134849.0,1285575825.0
에스바이오메딕스,304360,20191231,,-,17433380782.0,4850002524.0,22283383306.0,5547264398.0,3996957115.0,9544221513.0,1251222000.0,46747704277.0,-38106329386.0,2846564902.0,12739161793.0,5013976838.0,-9074510477.0,-9012628407.0
트루엔,417790,제 17 기말,2021년 12월 31일 현재,-,37447761356.0,11012356650.0,48460118006.0,4827711924.0,672264846.0,5499976770.0,842465000.0,1344513208.0,40773163028.0,0.0,42960141236.0,35980311714.0,9819847216.0,8519737059.0
엘비인베스트먼트,309960,제26기말,2021년 12월 31일 현재,-,27377914081.0,78231758543.0,105609672624.0,7962524194.0,7044714972.0,15007239166.0,20000000000.0,291210496.0,70300288202.0,10934760.0,90602433458.0,49373274787.0,31079227554.0,24598943092.0
지아이이노베이션,358570,제 5 (전)기,2021년 12월 31일 현재,-,134197178017.0,45670407668.0,179867585685.0,5242555202.0,4194216499.0,9436771701.0,9986416500.0,451288162100.0,-29692334722.0,6079582613.0,437661826491.0,11016789000.0,-22874570379.0,-75933174000.0
제이오,418550,제28(전) 기말,2021년 12월 31일 현재,-,57047922718.0,30708734447.0,87756657165.0,20829160985.0,39922387496.0,60751548481.0,2327260000.0,25080333821.0,-43142545.0,-359342592.0,27005108684.0,78702796771.0,-3935326907.0,-14605084005.0
샌즈랩,411080,2021년,(제18기),-,6954934203.0,1043748867.0,7998683070.0,3068174037.0,62417813.0,3130591850.0,1200000000.0,5627205129.0,-1959113909.0,0.0,4868091220.0,5413847262.0,488759164.0,733712644.0
이노진,344860,제17 기,2021년 12월 31일 현재,-,5065272209.0,1602514352.0,6667786561.0,1176170637.0,86537694.0,1262708331.0,930000000.0,115000000.0,5455404504.0,0.0,6500404504.0,9385017824.0,2398541943.0,2257732971.0
