iter	MultiClass
0	1.343454407
1	1.301210144
2	1.268594608
3	1.239264012
4	1.205968532
5	1.18177364
6	1.1554627
7	1.130994347
8	1.106241119
9	1.085260454
10	1.066610205
11	1.046985115
12	1.030222812
13	1.011085636
14	0.9948699054
15	0.9792371893
16	0.9656966709
17	0.9519520315
18	0.9391960116
19	0.9286012005
20	0.9157590728
21	0.9056482302
22	0.8943146736
23	0.8810429622
24	0.8724962594
25	0.865295272
26	0.8569605596
27	0.8472104409
28	0.8357022712
29	0.8296629788
30	0.8203748043
31	0.812647113
32	0.804767687
33	0.7986613748
34	0.7899881819
35	0.7815999817
36	0.7738519452
37	0.7654845264
38	0.7579810384
39	0.7499458404
40	0.7431285475
41	0.7370678618
42	0.7321966475
43	0.7272289834
44	0.7228717553
45	0.717355928
46	0.7122279027
47	0.7068414508
48	0.6997085752
49	0.6943708245
50	0.6885453825
51	0.6824111543
52	0.6775883319
53	0.6718272228
54	0.6664880943
55	0.661315342
56	0.656474079
57	0.652462368
58	0.6493559972
59	0.6459915725
60	0.6408461414
61	0.6352583152
62	0.6301680102
63	0.627731173
64	0.623678961
65	0.6201773909
66	0.6152926338
67	0.6110986414
68	0.6077717434
69	0.6039526677
70	0.5997706905
71	0.5962506958
72	0.592909282
73	0.588278366
74	0.5864231038
75	0.582601944
76	0.5784479331
77	0.5752897939
78	0.5719280714
79	0.5673391917
80	0.5628246888
81	0.5588808794
82	0.5559851528
83	0.5535291647
84	0.550826735
85	0.5467510229
86	0.5447704325
87	0.5426749844
88	0.5404850067
89	0.5376427576
90	0.5339168125
91	0.5319436047
92	0.5283390606
93	0.5263253068
94	0.5235583984
95	0.520429345
96	0.5166236941
97	0.5149239501
98	0.5121797609
99	0.5105911848
100	0.5074223249
101	0.5043154814
102	0.5019160734
103	0.4994794168
104	0.4957687122
105	0.4926928514
106	0.4889674402
107	0.486418777
108	0.4848602002
109	0.4825987937
110	0.4797647207
111	0.4775013474
112	0.476285029
113	0.4737724311
114	0.4713716326
115	0.4684240649
116	0.4663463916
117	0.4649935591
118	0.4624317057
119	0.4602567718
120	0.4586259792
121	0.4573089378
122	0.4554833462
123	0.4527736271
124	0.4499726068
125	0.4474833624
126	0.4458796449
127	0.4437393446
128	0.4411399675
129	0.4380779672
130	0.4357522029
131	0.43355714
132	0.4326128559
133	0.429652955
134	0.4278272277
135	0.42548487
136	0.4220526722
137	0.4197615583
138	0.4181155117
139	0.4156956148
140	0.4133900993
141	0.4114843889
142	0.4089295071
143	0.4067667694
144	0.4047098666
145	0.4027355828
146	0.4001721213
147	0.3982087841
148	0.396806437
149	0.3944745511
150	0.393228077
151	0.3915650019
152	0.3888692308
153	0.3868414919
154	0.3844307812
155	0.3827633599
156	0.3812318655
157	0.3803285501
158	0.3789120014
159	0.3780260933
160	0.3769933853
161	0.3755410995
162	0.3741176271
163	0.3723348616
164	0.3712502322
165	0.3689513655
166	0.3672348338
167	0.3652218638
168	0.363997568
169	0.3623240386
170	0.360600844
171	0.3588745699
172	0.3568442597
173	0.3558472591
174	0.353947971
175	0.3526285128
176	0.3505642316
177	0.3500384761
178	0.3487373043
179	0.3467366591
180	0.3454473462
181	0.3440826498
182	0.3424439796
183	0.3416391073
184	0.3398811684
185	0.3389158417
186	0.3376437216
187	0.3360030481
188	0.3351153127
189	0.33332657
190	0.3314977033
