iter	Passed	Remaining
0	11	11812
1	20	10044
2	27	9226
3	34	8591
4	42	8542
5	49	8241
6	56	8024
7	63	7869
8	70	7757
9	76	7621
10	83	7535
11	90	7463
12	97	7427
13	104	7364
14	111	7309
15	123	7569
16	135	7856
17	148	8117
18	160	8262
19	169	8286
20	176	8243
21	184	8192
22	191	8148
23	202	8218
24	211	8262
25	223	8388
26	235	8502
27	247	8608
28	258	8668
29	268	8689
30	278	8701
31	286	8666
32	295	8666
33	305	8678
34	314	8671
35	321	8617
36	329	8571
37	336	8524
38	346	8527
39	356	8567
40	365	8560
41	373	8522
42	380	8471
43	387	8413
44	394	8367
45	402	8344
46	411	8346
47	421	8354
48	433	8414
49	445	8457
50	455	8474
51	465	8489
52	475	8491
53	484	8495
54	495	8515
55	507	8562
56	520	8604
57	531	8637
58	544	8683
59	556	8715
60	566	8715
61	576	8724
62	587	8740
63	600	8780
64	613	8831
65	625	8851
66	636	8859
67	645	8845
68	655	8844
69	664	8824
70	675	8845
71	687	8864
72	700	8896
73	710	8892
74	718	8860
75	725	8822
76	734	8798
77	740	8757
78	750	8752
79	760	8744
80	768	8722
81	776	8689
82	784	8664
83	791	8636
84	802	8635
85	813	8646
86	821	8625
87	829	8601
88	837	8571
89	848	8578
90	858	8575
91	866	8556
92	875	8535
93	882	8507
94	890	8483
95	901	8493
96	912	8498
97	922	8487
98	935	8511
99	947	8531
100	960	8552
101	971	8550
102	980	8540
103	989	8527
104	1000	8526
105	1011	8531
106	1023	8546
107	1037	8565
108	1049	8577
109	1060	8578
110	1072	8592
111	1084	8597
112	1096	8606
113	1108	8613
114	1117	8599
115	1129	8607
116	1141	8614
117	1151	8607
118	1161	8596
119	1169	8576
120	1176	8545
121	1183	8517
122	1190	8488
123	1197	8461
124	1204	8431
125	1210	8399
126	1217	8370
127	1224	8341
128	1230	8311
129	1238	8286
130	1244	8258
131	1251	8230
132	1258	8205
133	1265	8180
134	1272	8154
135	1279	8128
136	1286	8104
137	1293	8079
138	1300	8056
139	1307	8033
140	1315	8012
141	1326	8012
142	1338	8023
143	1350	8026
144	1360	8022
145	1367	8001
146	1375	7979
147	1382	7958
148	1390	7940
149	1401	7940
150	1413	7944
151	1423	7942
152	1433	7937
153	1444	7937
154	1456	7938
155	1467	7942
156	1478	7939
157	1490	7943
158	1502	7945
159	1513	7944
160	1521	7930
161	1534	7937
162	1546	7940
163	1556	7936
164	1565	7923
165	1573	7907
166	1581	7888
167	1588	7865
168	1595	7845
169	1604	7833
170	1615	7829
171	1626	7831
172	1636	7823
173	1647	7820
174	1656	7808
175	1663	7790
176	1670	7769
177	1677	7748
178	1685	7731
179	1696	7727
180	1705	7715
181	1713	7702
182	1722	7690
183	1730	7676
184	1739	7664
185	1747	7649
186	1755	7630
187	1763	7616
188	1770	7598
189	1777	7578
190	1784	7559
191	1793	7548
192	1805	7551
193	1818	7555
194	1830	7556
195	1841	7555
196	1851	7547
197	1860	7536
198	1872	7535
199	1882	7528
200	1894	7530
201	1903	7521
202	1912	7510
203	1923	7506
204	1933	7497
205	1941	7483
206	1949	7469
207	1957	7453
208	1965	7440
209	1973	7424
210	1982	7412
211	1988	7391
212	1995	7373
213	2003	7357
214	2013	7352
215	2026	7355
216	2037	7351
217	2048	7348
218	2058	7342
219	2067	7329
220	2079	7329
221	2090	7326
222	2101	7321
223	2111	7314
224	2119	7301
225	2131	7298
226	2142	7295
227	2155	7300
228	2163	7285
229	2172	7271
230	2180	7258
231	2186	7239
232	2193	7222
233	2201	7206
234	2209	7192
235	2216	7175
236	2224	7160
237	2232	7147
238	2240	7135
239	2250	7125
240	2262	7124
241	2273	7122
242	2285	7118
243	2295	7112
244	2305	7104
245	2313	7089
246	2325	7089
247	2338	7090
248	2349	7085
249	2358	7076
250	2366	7061
251	2373	7044
252	2379	7026
253	2386	7009
254	2395	6997
255	2403	6985
256	2410	6968
257	2418	6956
258	2427	6943
259	2440	6946
260	2452	6945
261	2464	6941
262	2471	6927
263	2480	6916
264	2487	6899
265	2498	6893
266	2507	6885
267	2517	6876
268	2527	6868
269	2540	6867
270	2552	6865
271	2564	6864
272	2575	6857
273	2583	6845
274	2592	6833
275	2603	6828
276	2615	6826
277	2627	6824
278	2640	6822
279	2651	6818
280	2664	6817
281	2675	6811
282	2687	6808
283	2700	6809
284	2714	6808
285	2726	6806
286	2738	6803
287	2750	6799
288	2759	6789
289	2769	6781
290	2780	6774
291	2789	6762
292	2798	6753
293	2809	6747
294	2822	6744
295	2834	6742
296	2845	6736
297	2858	6733
298	2871	6732
299	2884	6731
300	2897	6728
301	2909	6725
302	2921	6719
303	2931	6712
304	2939	6699
305	2949	6689
306	2960	6682
307	2969	6672
308	2978	6661
309	2988	6651
310	3000	6647
311	3013	6645
312	3026	6643
313	3038	6639
314	3050	6633
315	3061	6626
316	3071	6617
317	3081	6608
318	3092	6600
319	3099	6585
320	3109	6577
321	3120	6570
322	3131	6564
323	3144	6560
324	3153	6550
325	3164	6542
326	3173	6531
327	3180	6516
328	3187	6501
329	3194	6486
330	3201	6471
331	3209	6458
332	3216	6442
333	3225	6431
334	3231	6415
335	3238	6400
336	3245	6385
337	3252	6369
338	3260	6357
339	3268	6344
340	3277	6333
341	3287	6324
342	3297	6315
343	3308	6310
344	3319	6302
345	3328	6291
346	3337	6281
347	3349	6276
348	3360	6268
349	3369	6258
350	3377	6245
351	3385	6231
352	3392	6217
353	3400	6205
354	3408	6192
355	3417	6182
356	3428	6175
357	3438	6165
358	3446	6153
359	3457	6146
360	3467	6138
361	3477	6128
